filename,url,entry_title
001_03c0e261-4946-43a4-863f-7444ac1374c8.jpeg,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/03c0e261-4946-43a4-863f-7444ac1374c8.jpeg,NAIDOC Week in Mount Isa with BG Fit
002_063b33ee-7a27-4dff-9411-4da7bb9a33f1.jpeg,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/063b33ee-7a27-4dff-9411-4da7bb9a33f1.jpeg,Invasion Day 2025
003_1cb29099-2df6-4089-ace0-3d65ea7c4ada.jpeg,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/1cb29099-2df6-4089-ace0-3d65ea7c4ada.jpeg,Project Love: Fishers Oysters 
004_37eb9379-c39d-4eee-b5ad-d279f920c578.jpeg,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/37eb9379-c39d-4eee-b5ad-d279f920c578.jpeg,Sowing Seeds of Change
005_3909ee10-4611-4413-bc50-a35378d044c8.jpeg,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/3909ee10-4611-4413-bc50-a35378d044c8.jpeg,Travel Adventure: Spain/England and Diagrama
006_49a62fee-d7a8-4f54-8f41-b89f48e9536b.jpeg,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/49a62fee-d7a8-4f54-8f41-b89f48e9536b.jpeg,Goods. Tennant Creek Trip
007_4e582567-da9c-47ff-bf19-1b1f280f794c.jpeg,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/4e582567-da9c-47ff-bf19-1b1f280f794c.jpeg,SMART Recovery Farm Visit
008_9c6a44ab-a19d-4868-8d82-18fa79edab6c.png,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/9c6a44ab-a19d-4868-8d82-18fa79edab6c.png,Gold.Phone Build
009_bfa89c4a-4441-4a77-ab9e-d0359e8b5cbf.jpeg,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/bfa89c4a-4441-4a77-ab9e-d0359e8b5cbf.jpeg,Project Love: The Washing Machine Project
010_c202f7b9-23eb-4477-8214-df40108476fa.png,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/c202f7b9-23eb-4477-8214-df40108476fa.png,Project Framing: JusticeHub
011_c6adc97f-cc96-45b0-a37a-ea081213a67e.jpeg,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/c6adc97f-cc96-45b0-a37a-ea081213a67e.jpeg,Project Action: Oonchiumpa
012_ca8c0e5c-1530-45ae-b104-769b82e96f8a.jpg,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/ca8c0e5c-1530-45ae-b104-769b82e96f8a.jpg,Mission Beach Elder's trip Premire
013_dc210fe8-9f73-44af-b4a3-155889affc81.jpeg,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/dc210fe8-9f73-44af-b4a3-155889affc81.jpeg,"Launching the ""Pakkinjalki kari"" (Washing Machine)"
014_dca16943-3672-4547-8d90-a1547ab4fb21.png,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/dca16943-3672-4547-8d90-a1547ab4fb21.png,GPCE (General Practice Conference & Exhibition) Confernce
015_dec9a42b-b954-4c07-8fd9-b95e63f19284.jpeg,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/dec9a42b-b954-4c07-8fd9-b95e63f19284.jpeg,Project Love: Confit Pathways
016_e9f86c0c-abff-4246-9b50-624e362b0347.jpeg,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/e9f86c0c-abff-4246-9b50-624e362b0347.jpeg,Designing the weave bed in Tennant Creek
017_edf0d290-5cea-43b3-9061-d1f8ee9da7e4.gif,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/edf0d290-5cea-43b3-9061-d1f8ee9da7e4.gif,"Bupa TFN Healthy People, Healthy Planet pitch night for Goods."
018_f024f288-bf97-4675-a9c8-cdd4aa3e3808.jpeg,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/f024f288-bf97-4675-a9c8-cdd4aa3e3808.jpeg,Project Active: Empathy Ledger
019_f1ae054f-1a2e-42bc-89ea-a3f0a0fb2d02.jpeg,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/f1ae054f-1a2e-42bc-89ea-a3f0a0fb2d02.jpeg,Time in Mount Isa with BG Fit
020_f598b4ef-ce37-4eb3-9160-d415e743a577.jpeg,https://tednluwflfhxyucgwigh.supabase.co/storage/v1/object/public/photos/community/f598b4ef-ce37-4eb3-9160-d415e743a577.jpeg,Project Activated:  Global Laundry Alliance (GLA)
